,Team,Games,Home Games,Away Games,Goals Per Game,Goals Against Per Game,Goal Difference Per Game,Expected Goals Per Game,Expected Goals Against Per Game,Expected Goal Difference Per Game,Non-Scoring Expected Goals Per Game,Non-Scoring Expected Goals Against Per Game,Non-Scoring Expected Goal Difference Per Game,Adjusted Goals Per Game,Adjusted Goals Against Per Game,Adjusted Goal Difference Per Game,Home Goals Per Game,Home Goals Against Per Game,Home Goal Difference Per Game,Home Expected Goals Per Game,Home Expected Goals Against Per Game,Home Expected Goal Difference Per Game,Home Non-Scoring Expected Goals Per Game,Home Non-Scoring Expected Goals Against Per Game,Home Non-Scoring Expected Goal Difference Per Game,Home Adjusted Goals Per Game,Home Adjusted Goals Against Per Game,Home Adjusted Goal Difference Per Game,Away Goals Per Game,Away Goals Against Per Game,Away Goal Difference Per Game,Away Expected Goals Per Game,Away Expected Goals Against Per Game,Away Expected Goal Difference Per Game,Away Non-Scoring Expected Goals Per Game,Away Non-Scoring Expected Goals Against Per Game,Away Non-Scoring Expected Goal Difference Per Game,Away Adjusted Goals Per Game,Away Adjusted Goals Against Per Game,Away Adjusted Goal Difference Per Game,Season,League
1106,Hertha Berlin,6,3,3,1.0,1.1666666666666667,-0.16666666666666666,1.5883333333333336,1.3883333333333334,0.2000000000000001,1.5133333333333334,0.9166666666666666,0.5966666666666667,1.04,1.225,-0.18500000000000005,1.0,0.3333333333333333,0.6666666666666666,1.3266666666666669,0.88,0.44666666666666677,1.3966666666666667,0.7433333333333333,0.6533333333333334,1.03,0.35000000000000003,0.68,1.0,2.0,-1.0,1.8499999999999999,1.8966666666666665,-0.04666666666666656,1.63,1.09,0.5399999999999999,1.05,2.1,-1.05,2017-18,UEFA Europa League
1107,Istanbul Basaksehir,6,3,3,1.1666666666666667,1.3333333333333333,-0.16666666666666666,0.9316666666666666,1.2066666666666668,-0.2750000000000001,1.22,0.975,0.24499999999999988,1.225,1.3783333333333332,-0.15333333333333324,1.0,0.6666666666666666,0.3333333333333333,1.18,0.93,0.25,1.5633333333333332,0.65,0.9133333333333331,1.05,0.7000000000000001,0.3500000000000001,1.3333333333333333,2.0,-0.6666666666666666,0.6833333333333332,1.4833333333333334,-0.8000000000000002,0.8766666666666666,1.3,-0.42333333333333334,1.4000000000000001,2.0566666666666666,-0.6566666666666666,2017-18,UEFA Europa League
1108,Konyaspor,6,3,3,0.6666666666666666,1.0,-0.3333333333333333,0.7116666666666666,1.1316666666666666,-0.42,0.9500000000000001,1.19,-0.2399999999999999,0.665,1.01,-0.34500000000000003,1.0,1.3333333333333333,-0.3333333333333333,1.0233333333333332,1.1366666666666667,-0.11333333333333344,1.3333333333333333,0.8333333333333334,0.5,0.98,1.32,-0.34,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.4000000000000001,1.1266666666666667,-0.7266666666666666,0.5666666666666667,1.5466666666666666,-0.9799999999999999,0.35000000000000003,0.7000000000000001,-0.35000000000000003,2017-18,UEFA Europa League
1109,Lazio,12,6,6,2.1666666666666665,1.4166666666666667,0.75,1.9441666666666666,0.8933333333333332,1.0508333333333333,1.4691666666666665,0.9383333333333331,0.5308333333333334,2.1525,1.4675,0.6849999999999999,2.5,1.0,1.5,1.7599999999999998,0.8416666666666667,0.9183333333333331,1.3816666666666666,0.8616666666666665,0.52,2.515,1.05,1.4649999999999999,1.8333333333333333,1.8333333333333333,0.0,2.1283333333333334,0.945,1.1833333333333333,1.5566666666666666,1.015,0.5416666666666666,1.79,1.885,-0.09500000000000004,2017-18,UEFA Europa League
1110,Lokomotiv Moscow,10,5,5,1.4,1.4,0.0,0.9559999999999998,1.136,-0.18000000000000016,1.1059999999999999,1.312,-0.20600000000000004,1.377,1.3800000000000003,-0.0030000000000002026,1.6,1.6,0.0,0.8979999999999999,1.24,-0.3420000000000002,1.172,1.224,-0.052000000000000136,1.6800000000000002,1.6020000000000003,0.07799999999999976,1.2,1.2,0.0,1.0139999999999998,1.032,-0.018000000000000148,1.04,1.4,-0.36,1.074,1.1580000000000001,-0.08400000000000016,2017-18,UEFA Europa League
1111,Ludogorets,8,4,4,0.875,1.125,-0.25,0.81875,1.1637499999999998,-0.345,0.7537499999999999,1.38375,-0.63,0.9187500000000001,1.11625,-0.19749999999999995,1.0,1.75,-0.75,1.045,1.1199999999999999,-0.07499999999999996,1.0125,1.1675,-0.15500000000000003,1.05,1.7075,-0.6575,0.75,0.5,0.25,0.5925,1.2075,-0.615,0.495,1.5999999999999999,-1.105,0.7875000000000001,0.525,0.26250000000000007,2017-18,UEFA Europa League
1112,Lyon,10,5,5,1.8,0.8,1.0,1.5530000000000002,0.9540000000000001,0.599,1.045,1.099,-0.054000000000000006,1.7149999999999999,0.8400000000000001,0.875,2.6,1.0,1.6,1.56,0.9259999999999999,0.634,1.298,0.792,0.506,2.4219999999999997,1.05,1.3719999999999999,1.0,0.6,0.4,1.546,0.9820000000000002,0.5639999999999998,0.792,1.4060000000000001,-0.6140000000000001,1.008,0.6300000000000001,0.37799999999999995,2017-18,UEFA Europa League
1113,Maccabi Tel-Aviv,6,3,3,0.16666666666666666,1.3333333333333333,-1.1666666666666667,0.66,1.3266666666666667,-0.6666666666666666,1.02,1.135,-0.11499999999999999,0.17500000000000002,1.4000000000000001,-1.225,0.0,1.0,-1.0,0.7433333333333333,1.08,-0.3366666666666667,1.2266666666666666,0.98,0.2466666666666666,0.0,1.05,-1.05,0.3333333333333333,1.6666666666666667,-1.3333333333333333,0.5766666666666667,1.5733333333333333,-0.9966666666666666,0.8133333333333335,1.29,-0.47666666666666657,0.35000000000000003,1.75,-1.4000000000000001,2017-18,UEFA Europa League
1114,Marseille,15,8,7,1.3333333333333333,1.0,0.3333333333333333,1.5440000000000003,0.9606666666666667,0.5833333333333336,1.1366666666666665,0.9720000000000001,0.1646666666666664,1.358666666666667,1.004,0.35466666666666685,2.0,0.875,1.125,1.9962500000000003,0.71625,1.2800000000000002,1.3187499999999996,0.68,0.6387499999999996,2.0225000000000004,0.85875,1.1637500000000003,0.5714285714285714,1.1428571428571428,-0.5714285714285714,1.0271428571428571,1.24,-0.21285714285714277,0.9285714285714286,1.3057142857142858,-0.3771428571428572,0.6,1.17,-0.57,2017-18,UEFA Europa League
1115,Napoli,2,1,1,1.5,1.5,0.0,1.22,1.295,-0.07499999999999996,1.0,1.255,-0.255,1.375,1.315,0.06000000000000005,1.0,3.0,-2.0,0.54,2.34,-1.7999999999999998,0.69,1.8,-1.11,1.05,2.63,-1.5799999999999998,2.0,0.0,2.0,1.9,0.25,1.65,1.31,0.71,0.6000000000000001,1.7,0.0,1.7,2017-18,UEFA Europa League
